Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luka Dončić,34:08,.599,.526,.263,.421,0.0,13.7,7.0,34.7,0.0,2.7,11.8,34.7,115,144,1.1
Dorian Finney-Smith,29:22,.556,.556,.667,.000,0.0,8.0,4.1,0.0,5.0,0.0,10.0,15.8,92,135,-6.4
Tim Hardaway,28:03,.388,.375,.417,.167,4.4,12.5,8.6,10.0,0.0,0.0,0.0,21.3,89,146,-12.2
Josh Richardson,27:23,.638,.583,.417,.250,4.5,4.3,4.4,11.5,3.5,0.0,0.0,22.6,133,140,0.5
Dwight Powell,23:32,.955,1.125,.250,1.000,0.0,14.9,7.6,6.2,6.2,0.0,14.8,13.3,156,130,5.0
Trey Burke,24:28,.723,.700,.700,.400,0.0,4.8,2.5,12.6,0.0,3.8,0.0,22.3,143,146,1.4
Maxi Kleber,19:45,.868,.750,1.000,1.000,6.2,23.7,15.2,0.0,4.9,0.0,0.0,6.8,181,131,1.1
Willie Cauley-Stein,14:05,.000,.000,.000,.000,0.0,16.6,8.5,0.0,6.9,6.6,25.0,13.2,0,125,-16.7
Jalen Brunson,13:52,.400,.400,.200,.000,0.0,16.9,8.7,10.2,0.0,0.0,37.5,26.8,53,144,-25.9
James Johnson,11:52,.862,1.000,.000,3.000,0.0,9.9,5.1,43.8,4.1,0.0,0.0,9.1,199,137,13.0
Boban Marjanović,7:02,.750,.750,.000,.000,0.0,16.6,8.5,0.0,0.0,0.0,0.0,26.4,135,144,-1.3
Wesley Iwundu,2:23,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,200,150,5.6
Josh Green,2:23,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,150,-11.1
Tyrell Terry,1:42,1.000,1.000,.000,.000,0.0,0.0,0.0,100.0,0.0,0.0,0.0,27.3,207,150,28.2
