Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Richardson,26:42,8,13,.615,4,8,.500,1,1,1.000,2,1,3,2,1,0,0,3,21,+22
Luka Dončić,25:55,8,18,.444,0,5,.000,8,9,.889,0,9,9,8,1,0,2,0,24,+29
Tim Hardaway,22:59,7,14,.500,4,8,.500,0,0,,0,5,5,2,2,0,0,2,18,+27
Dorian Finney-Smith,18:02,2,4,.500,2,4,.500,2,2,1.000,0,1,1,1,0,0,0,1,8,+25
Dwight Powell,17:54,1,1,1.000,0,0,,2,2,1.000,1,3,4,0,1,0,1,2,4,+12
James Johnson,20:24,1,6,.167,1,3,.333,2,2,1.000,2,6,8,3,2,0,0,2,5,+25
Willie Cauley-Stein,18:01,3,5,.600,0,1,.000,3,3,1.000,4,2,6,2,0,1,0,0,9,+31
Trey Burke,17:30,2,3,.667,1,2,.500,0,0,,0,2,2,1,1,0,1,0,5,+28
Maxi Kleber,17:04,1,2,.500,1,2,.500,2,2,1.000,0,5,5,1,0,1,0,2,5,+26
Jalen Brunson,13:19,4,6,.667,1,3,.333,2,2,1.000,0,2,2,3,0,0,0,0,11,+20
Wesley Iwundu,11:34,3,6,.500,0,2,.000,0,0,,0,1,1,0,1,0,0,1,6,+2
Josh Green,11:34,1,3,.333,0,0,,2,2,1.000,0,2,2,2,0,0,1,0,4,+2
Boban Marjanović,10:16,2,4,.500,0,2,.000,0,2,.000,2,3,5,0,0,0,1,0,4,+4
Tyrell Terry,8:46,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,1,0,+2
