Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,37:06,9,22,.409,1,7,.143,7,9,.778,0,8,8,5,1,0,7,4,26,+4
Josh Richardson,36:08,6,10,.600,1,4,.250,5,5,1.000,0,5,5,8,0,0,2,4,18,-11
Dorian Finney-Smith,32:45,3,4,.750,0,1,.000,1,1,1.000,2,5,7,3,1,1,1,1,7,-12
Kristaps Porziņģis,30:46,10,19,.526,4,7,.571,3,3,1.000,4,9,13,4,0,5,2,4,27,-4
Maxi Kleber,25:29,2,4,.500,1,2,.500,0,0,,0,3,3,0,0,0,0,2,5,+13
Tim Hardaway,28:53,9,15,.600,4,9,.444,2,3,.667,0,1,1,1,1,0,0,1,24,+9
Jalen Brunson,19:28,1,4,.250,0,2,.000,1,1,1.000,0,3,3,6,1,0,1,2,3,+16
Dwight Powell,16:47,3,5,.600,0,0,,6,8,.750,4,3,7,2,0,0,0,2,12,+11
Trey Burke,7:59,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,5,+1
Wesley Iwundu,4:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-2
