Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dorian Finney-Smith,34:43,1.000,1.000,.500,.000,10.6,15.7,13.3,14.5,2.9,3.3,0.0,8.2,206,103,10.9
Luka Dončić,33:43,.571,.595,.476,.286,0.0,19.4,10.3,34.0,3.0,0.0,4.1,34.6,120,102,6.7
Maxi Kleber,26:44,1.000,1.000,1.000,.000,4.6,12.2,8.7,8.7,1.9,4.3,0.0,5.3,201,106,4.3
Josh Richardson,25:54,.583,.556,.556,.111,0.0,8.4,4.5,14.8,2.0,0.0,9.6,19.1,115,109,-3.2
Kristaps Porziņģis,25:34,.592,.538,.154,.385,0.0,17.1,9.0,11.8,2.0,13.4,11.6,31.8,109,100,1.7
Jalen Brunson,26:34,.589,.591,.364,.182,0.0,12.3,6.5,5.3,3.8,0.0,0.0,21.2,119,103,-1.1
Tim Hardaway,21:23,.488,.417,.500,.250,5.8,10.2,8.1,6.2,2.4,0.0,0.0,29.5,108,108,-2.9
Willie Cauley-Stein,16:58,1.000,1.000,.000,.000,7.3,19.3,13.6,7.7,0.0,13.5,0.0,8.4,207,104,6.5
Trey Burke,9:59,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,14.3,33.2,81,118,-12.0
Dwight Powell,5:28,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,98,117,-13.4
Wesley Iwundu,5:28,,,,,0.0,20.0,10.6,0.0,0.0,20.9,,0.0,0,101,3.4
James Johnson,4:32,,,,,0.0,0.0,0.0,23.5,11.2,0.0,,0.0,231,92,12.9
Boban Marjanović,3:00,,,,,0.0,36.4,19.3,35.6,16.9,0.0,100.0,47.3,20,61,-26.5
