Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway,38:33,6,18,.333,3,10,.300,3,4,.750,0,2,2,3,2,1,2,3,18,+17
Luka Dončić,35:49,9,22,.409,3,10,.300,6,9,.667,1,14,15,7,0,1,5,2,27,+12
Josh Richardson,34:47,5,10,.500,1,5,.200,0,0,,1,2,3,3,0,0,2,2,11,+6
Dwight Powell,28:07,0,1,.000,0,1,.000,2,4,.500,0,8,8,1,2,0,0,4,2,+8
Dorian Finney-Smith,22:25,5,8,.625,2,5,.400,0,0,,1,4,5,0,0,0,0,4,12,+3
Maxi Kleber,27:32,1,3,.333,1,3,.333,2,2,1.000,0,4,4,1,1,1,1,1,5,+13
Trey Burke,17:19,2,5,.400,0,1,.000,4,4,1.000,0,3,3,0,0,0,1,3,8,-4
James Johnson,12:11,3,5,.600,2,2,1.000,0,0,,0,3,3,1,2,0,2,3,8,-2
Jalen Brunson,12:11,1,5,.200,0,0,,0,0,,0,3,3,2,2,0,1,1,2,-2
Willie Cauley-Stein,11:06,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,2,2,0,-1
