Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tim Hardaway,40:26,.795,.800,.650,.300,0.0,12.4,6.8,9.6,0.0,0.0,15.0,30.4,124,108,5.6
Luka Dončić,34:37,.469,.425,.450,.150,3.6,26.0,15.9,47.3,1.4,4.8,22.0,36.5,97,97,0.4
Maxi Kleber,23:38,.425,.300,.600,.400,0.0,12.7,7.0,5.5,0.0,7.0,0.0,11.5,100,102,-3.3
Willie Cauley-Stein,23:19,.510,.400,.000,.400,5.3,25.7,16.6,11.8,0.0,0.0,14.5,13.6,111,104,-4.9
Josh Green,15:28,.000,.000,1.000,.000,0.0,19.4,10.7,0.0,0.0,0.0,0.0,3.0,0,106,-8.4
Wesley Iwundu,32:26,.000,.000,.500,.000,3.8,15.4,10.2,3.8,3.1,0.0,50.0,5.7,38,100,-7.2
James Johnson,26:14,.732,.750,.500,.833,0.0,15.2,8.4,17.3,3.8,3.2,19.6,18.0,124,96,5.1
Trey Burke,21:01,1.115,1.115,.615,.000,0.0,0.0,0.0,65.8,0.0,3.9,7.1,30.8,186,108,33.6
Dwight Powell,20:55,.333,.333,.333,.000,11.8,14.3,13.2,13.3,0.0,7.9,14.3,15.5,91,101,-5.0
Boban Marjanović,1:53,.000,.000,.000,.000,65.4,0.0,29.3,0.0,0.0,0.0,0.0,24.5,74,111,-27.4
