Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luka Dončić,38:57,.516,.500,.500,.150,3.3,30.8,18.3,46.3,0.0,0.0,22.0,32.0,107,113,-0.8
Kristaps Porziņģis,34:03,.729,.706,.294,.294,15.2,32.0,24.4,5.1,0.0,0.0,5.0,27.0,149,113,7.8
Maxi Kleber,32:56,.786,.786,.857,.000,15.8,9.9,12.6,7.8,0.0,0.0,0.0,9.7,180,116,4.2
Josh Richardson,32:07,.607,.556,.556,.222,0.0,6.8,3.7,16.1,0.0,2.7,16.8,16.9,119,114,0.3
Dorian Finney-Smith,31:03,.518,.300,.800,.800,4.2,21.1,13.4,7.5,0.0,0.0,12.9,11.4,122,114,-3.4
Tim Hardaway,23:52,.379,.318,.545,.182,0.0,9.1,5.0,16.3,2.2,0.0,7.8,24.6,96,112,-6.1
Jalen Brunson,20:18,.820,.875,.500,.500,0.0,10.7,5.8,19.8,2.6,0.0,29.1,15.4,120,110,3.1
Willie Cauley-Stein,13:51,.833,.833,.000,.000,9.4,7.9,8.6,0.0,0.0,0.0,0.0,19.7,169,116,4.5
Trey Burke,7:49,.833,.833,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,162,118,6.2
James Johnson,5:04,1.042,1.000,.000,1.000,51.2,21.5,35.1,56.5,10.4,0.0,41.0,21.9,155,91,32.0
