Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Maxi Kleber,32:50,2,5,.400,2,4,.500,1,2,.500,1,4,5,0,0,1,0,1,7,+13
Josh Richardson,31:06,3,6,.500,2,4,.500,2,2,1.000,2,4,6,3,0,0,1,4,10,+10
Kristaps Porziņģis,28:40,11,23,.478,3,9,.333,4,4,1.000,1,8,9,4,1,2,1,2,29,+14
Dorian Finney-Smith,28:36,4,7,.571,1,3,.333,2,2,1.000,3,1,4,2,1,0,0,2,11,+11
Luka Dončić,27:03,6,16,.375,2,9,.222,1,2,.500,0,4,4,4,1,1,4,1,15,+7
Jalen Brunson,29:34,7,12,.583,0,2,.000,2,3,.667,3,8,11,5,1,0,2,5,16,+17
Tim Hardaway,27:23,7,17,.412,5,9,.556,2,4,.500,0,4,4,4,0,0,0,3,21,+17
Dwight Powell,19:20,7,10,.700,1,2,.500,1,1,1.000,4,4,8,2,1,1,0,4,16,+6
Trey Burke,8:40,0,2,.000,0,2,.000,0,0,,0,0,0,2,0,1,0,0,0,-1
Tyler Bey,2:16,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+2
Nate Hinton,2:16,0,0,,0,0,,1,2,.500,0,1,1,1,0,0,1,0,1,+2
Josh Green,2:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,+2
