Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dorian Finney-Smith,38:38,6,11,.545,3,6,.500,2,4,.500,4,4,8,3,0,0,1,1,17,+23
Tim Hardaway,37:06,8,16,.500,4,8,.500,3,4,.750,0,6,6,2,0,0,2,3,23,+9
Luka Dončić,35:37,7,22,.318,5,13,.385,5,10,.500,1,9,10,8,2,0,6,0,24,+7
Josh Richardson,29:24,4,10,.400,2,3,.667,0,0,,1,0,1,1,3,0,1,2,10,-5
Willie Cauley-Stein,20:49,3,6,.500,0,0,,0,0,,2,6,8,2,1,2,1,2,6,-1
Dwight Powell,27:11,4,4,1.000,0,0,,4,4,1.000,2,8,10,5,1,1,0,2,12,+6
Jalen Brunson,25:37,6,10,.600,1,2,.500,2,2,1.000,0,2,2,2,1,0,1,4,15,-3
Trey Burke,11:18,0,6,.000,0,1,.000,2,2,1.000,1,1,2,0,0,0,0,0,2,-3
Josh Green,8:06,2,2,1.000,0,0,,0,0,,1,1,2,0,2,0,0,0,4,-4
Nicolò Melli,6:11,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,-9
