Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Jokić,37:42,.568,.455,.091,.818,5.7,19.8,12.7,55.6,1.3,0.0,21.1,20.9,129,115,8.4
Jamal Murray,37:04,.545,.472,.500,.278,0.0,14.4,7.2,15.3,2.7,0.0,9.0,24.9,122,113,0.4
Michael Porter,35:54,.672,.643,.357,.143,20.8,14.9,17.8,0.0,0.0,2.5,6.3,18.4,147,117,0.7
Will Barton,34:59,.588,.545,.364,.364,6.1,18.3,12.2,15.2,1.4,2.5,19.0,18.7,116,113,1.7
Aaron Gordon,34:34,.789,.808,.077,.385,9.3,12.3,10.8,9.5,0.0,5.1,6.2,19.5,156,116,9.8
Monte Morris,17:44,.592,.563,.375,.125,6.0,12.0,9.0,0.0,2.9,0.0,0.0,19.8,139,114,1.2
JaMychal Green,12:32,.644,.667,.333,.667,17.0,25.5,21.3,0.0,0.0,7.1,20.5,16.2,114,111,-2.6
Facundo Campazzo,9:11,.436,.333,.667,.333,11.6,11.6,11.6,13.8,0.0,0.0,0.0,15.5,131,120,-3.7
PJ Dozier,9:08,.000,.000,1.000,.000,0.0,11.7,5.8,0.0,0.0,0.0,33.3,13.6,0,120,-23.8
JaVale McGee,5:37,.798,1.000,.000,2.000,19.0,19.0,19.0,0.0,9.0,0.0,34.7,21.3,101,97,4.1
Paul Millsap,5:35,.000,.000,.250,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,0,122,-42.3
