Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nikola Jokić,35:38,9,18,.500,1,6,.167,6,7,.857,4,5,9,5,0,1,4,0,25,+3
Will Barton,33:58,5,13,.385,2,8,.250,2,3,.667,1,5,6,4,1,0,4,2,14,+4
Michael Porter,30:37,8,12,.667,1,4,.250,0,0,,1,4,5,2,0,0,1,3,17,+2
Aaron Gordon,29:02,4,11,.364,2,4,.500,2,2,1.000,1,5,6,3,2,0,2,1,12,+2
Facundo Campazzo,27:13,4,6,.667,4,5,.800,0,0,,2,3,5,3,0,1,1,3,12,+8
PJ Dozier,25:18,3,10,.300,1,5,.200,0,0,,3,4,7,2,1,1,1,2,7,-2
JaMychal Green,18:10,0,3,.000,0,1,.000,0,0,,2,0,2,2,1,1,0,2,0,+2
Shaquille Harrison,14:24,2,4,.500,0,1,.000,1,1,1.000,0,0,0,1,2,0,0,1,5,-6
Austin Rivers,13:18,1,2,.500,1,1,1.000,2,2,1.000,1,2,3,0,0,0,0,0,5,-6
Paul Millsap,12:22,3,9,.333,1,4,.250,2,2,1.000,1,2,3,2,0,1,0,2,9,-2
