Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Jokić,34:07,.771,.773,.091,.273,12.8,24.5,18.8,72.9,4.1,3.0,19.6,18.7,159,100,22.4
Jamal Murray,31:05,.615,.643,.429,.500,7.0,10.1,8.6,8.8,0.0,3.3,10.5,25.6,115,111,-0.5
Gary Harris,28:56,.670,.700,.600,.100,3.8,7.2,5.5,9.2,4.8,0.0,8.7,16.5,125,103,3.6
Paul Millsap,24:44,1.019,1.063,.500,.375,0.0,12.7,6.5,6.0,0.0,0.0,24.4,20.8,129,114,3.6
Michael Porter,23:38,.568,.545,.545,.273,0.0,39.7,20.3,11.3,0.0,4.3,0.0,21.7,123,106,0.5
Monte Morris,23:31,.721,.786,.429,.429,0.0,17.7,9.1,28.5,0.0,4.3,0.0,14.8,158,109,4.6
Will Barton,22:44,.458,.458,.333,.000,0.0,18.4,9.4,0.0,0.0,4.5,7.7,23.9,84,109,-10.2
PJ Dozier,19:39,.255,.200,.000,.400,11.1,15.9,13.6,5.6,2.4,5.2,14.5,14.6,75,103,-9.4
Isaiah Hartenstein,9:40,.443,.333,.000,2.000,22.6,21.6,22.1,0.0,4.8,0.0,15.1,28.7,96,100,-16.6
Facundo Campazzo,5:26,.725,.000,.000,4.000,0.0,19.2,9.8,0.0,0.0,0.0,26.6,28.9,115,111,-15.7
Bol Bol,5:09,.000,.000,.000,.000,0.0,20.3,10.4,0.0,0.0,19.8,0.0,16.2,0,96,-19.5
R.J. Hampton,4:07,1.000,1.000,.000,.000,0.0,25.3,13.0,0.0,0.0,0.0,0.0,10.1,200,111,-3.6
Vlatko Čančar,3:37,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,23.1,0,115,-33.2
Zeke Nnaji,3:37,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0,114,-25.5
