Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Facundo Campazzo,39:32,5,12,.417,2,6,.333,3,4,.750,1,2,3,8,2,1,1,3,15,-2
Nikola Jokić,37:33,16,23,.696,3,5,.600,8,8,1.000,3,3,6,5,2,1,3,3,43,+2
Jamal Murray,33:27,9,16,.563,4,8,.500,3,3,1.000,0,6,6,6,3,0,9,0,25,-1
JaMychal Green,28:33,1,7,.143,0,2,.000,0,0,,4,2,6,1,1,0,1,4,2,+4
Michael Porter,24:08,0,8,.000,0,5,.000,0,0,,2,5,7,3,0,1,0,2,0,+2
Zeke Nnaji,26:28,1,3,.333,0,2,.000,0,0,,0,2,2,0,0,0,0,1,2,-18
R.J. Hampton,23:55,2,6,.333,0,2,.000,0,0,,1,3,4,0,0,0,0,3,4,-16
Isaiah Hartenstein,10:27,3,3,1.000,0,0,,0,0,,0,1,1,0,1,0,0,1,6,-15
Markus Howard,10:04,0,4,.000,0,3,.000,0,0,,0,1,1,1,2,0,1,1,0,-12
Vlatko Čančar,5:53,1,2,.500,0,1,.000,0,0,,0,2,2,1,1,0,2,0,2,-9
