Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nikola Jokić,28:24,12,21,.571,0,4,.000,3,3,1.000,5,7,12,6,1,1,1,2,27,+12
Paul Millsap,26:22,5,10,.500,2,5,.400,1,2,.500,4,8,12,3,2,1,1,3,13,+21
Gary Harris,25:37,4,9,.444,3,6,.500,0,0,,2,1,3,3,1,0,1,2,11,+20
Will Barton,24:37,5,7,.714,3,4,.750,0,0,,0,3,3,6,1,0,4,2,13,+15
Jamal Murray,20:35,2,10,.200,0,3,.000,1,1,1.000,0,2,2,4,2,0,1,2,5,+2
Monte Morris,21:29,7,11,.636,1,4,.250,0,0,,1,3,4,5,0,0,1,0,15,+22
PJ Dozier,19:02,3,7,.429,2,5,.400,3,3,1.000,1,1,2,0,1,0,1,0,11,+11
Facundo Campazzo,18:00,1,6,.167,1,3,.333,0,0,,0,0,0,1,1,0,1,2,3,+8
JaMychal Green,16:37,4,12,.333,2,5,.400,0,0,,4,4,8,1,0,1,2,3,10,+8
Isaiah Hartenstein,12:55,1,2,.500,0,0,,3,3,1.000,1,6,7,0,1,0,0,3,5,+17
R.J. Hampton,6:39,0,2,.000,0,0,,2,2,1.000,0,2,2,0,0,0,1,0,2,-11
Bol Bol,6:37,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-11
Zeke Nnaji,5:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-11
Vlatko Čančar,4:21,0,1,.000,0,1,.000,0,0,,0,2,2,0,1,0,0,1,0,-8
Markus Howard,3:41,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,0,1,2,-5
