Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Jokić,33:55,.678,.615,.154,.308,10.6,23.0,17.1,19.7,3.0,2.7,28.9,27.4,110,115,0.8
Gary Harris,32:29,.727,.667,.333,.333,7.4,3.4,5.3,8.3,0.0,2.8,0.0,9.5,173,126,1.5
Will Barton,26:06,.304,.222,.444,.222,0.0,29.9,15.5,25.3,0.0,0.0,16.8,20.4,86,123,-10.3
Jamal Murray,25:07,.727,.727,.364,.000,0.0,13.3,6.9,14.4,0.0,0.0,21.4,24.9,112,126,-3.7
Paul Millsap,18:41,.258,.333,.333,.667,6.4,11.9,9.3,20.6,0.0,0.0,0.0,9.3,109,126,-5.6
Michael Porter,27:37,.743,.722,.556,.278,13.0,20.2,16.8,0.0,3.7,0.0,4.7,34.3,148,116,14.3
Monte Morris,26:15,.524,.400,.400,1.200,0.0,8.5,4.4,30.2,0.0,3.5,20.7,16.4,117,124,-1.7
JaMychal Green,22:04,.759,.722,.778,.556,5.4,35.4,21.0,7.5,4.6,0.0,0.0,22.7,166,111,12.0
Facundo Campazzo,12:47,.000,.000,1.000,.000,18.8,0.0,9.0,18.8,8.0,0.0,50.0,7.0,97,111,3.2
PJ Dozier,9:14,1.031,1.000,.667,.667,13.0,12.1,12.5,0.0,5.5,10.0,20.5,23.6,154,106,21.4
R.J. Hampton,5:45,.000,.000,.000,.000,20.9,0.0,10.1,0.0,0.0,0.0,0.0,7.8,75,128,-14.1
