Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jamal Murray,37:59,.655,.618,.294,.176,3.3,5.4,4.5,18.8,2.6,0.0,5.2,22.1,139,105,6.6
Nikola Jokić,36:24,.734,.696,.130,.217,13.9,16.8,15.5,43.7,2.8,0.0,7.4,32.5,154,101,24.0
Will Barton,34:28,.636,.636,.545,.000,0.0,23.7,13.1,15.6,1.5,3.6,15.4,16.4,119,100,5.0
Monte Morris,29:31,.500,.500,.200,.000,0.0,6.9,3.8,10.9,1.7,4.2,16.7,17.7,95,105,-3.5
Michael Porter,24:46,.611,.611,.667,.000,5.1,24.7,16.0,0.0,2.0,5.0,0.0,15.8,129,96,2.0
PJ Dozier,22:39,.531,.529,.294,.118,0.0,9.0,5.0,5.9,0.0,0.0,0.0,34.4,111,109,-5.6
Vlatko Čančar,22:25,.515,.333,.333,.667,5.6,27.3,17.6,4.2,4.5,0.0,34.0,11.4,89,93,-1.1
Zeke Nnaji,15:40,.750,.750,.250,.000,16.1,13.0,14.4,0.0,3.2,0.0,20.0,13.9,130,101,3.1
Isaiah Hartenstein,11:36,,,,,0.0,17.6,9.7,0.0,0.0,0.0,,0.0,0,105,-9.6
Bol Bol,2:16,1.500,1.500,1.000,.000,0.0,0.0,0.0,66.5,0.0,0.0,0.0,19.2,278,113,59.5
Greg Whittington,2:16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,113,-4.4
