Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Will Barton,36:24,8,17,.471,5,10,.500,2,2,1.000,1,3,4,2,1,0,2,3,23,-9
Nikola Jokić,36:02,10,20,.500,1,5,.200,5,6,.833,2,7,9,11,0,0,4,0,26,-12
Jamal Murray,35:39,4,13,.308,1,5,.200,1,1,1.000,1,1,2,5,1,0,2,1,10,-14
Michael Porter,23:04,7,9,.778,4,5,.800,5,7,.714,3,5,8,0,0,0,0,5,23,0
Paul Millsap,22:45,2,9,.222,1,5,.200,0,2,.000,1,3,4,1,2,1,0,1,5,-6
Facundo Campazzo,26:47,0,2,.000,0,1,.000,0,0,,0,2,2,6,0,0,1,4,0,-12
PJ Dozier,23:15,2,7,.286,1,3,.333,0,0,,1,2,3,1,1,0,0,2,5,-9
JaMychal Green,18:02,2,6,.333,1,3,.333,0,0,,1,4,5,0,0,0,1,2,5,-8
Vlatko Čančar,6:07,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-6
Zeke Nnaji,4:43,0,0,,0,0,,0,0,,1,2,3,1,0,0,0,0,0,-1
Markus Howard,2:24,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,+4
Bol Bol,2:24,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+4
Greg Whittington,2:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4
