Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cory Joseph,32:52,3,9,.333,1,3,.333,1,2,.500,1,2,3,3,3,0,1,2,8,-13
Jerami Grant,29:37,4,14,.286,0,3,.000,6,6,1.000,0,1,1,4,1,2,4,2,14,-4
Josh Jackson,29:03,6,14,.429,2,5,.400,3,4,.750,0,2,2,2,0,1,5,3,17,-20
Saddiq Bey,24:11,1,7,.143,0,4,.000,2,2,1.000,2,5,7,0,1,0,1,1,4,-18
Mason Plumlee,16:23,1,3,.333,0,0,,0,2,.000,2,5,7,2,0,1,1,2,2,-10
Frank Jackson,26:29,8,13,.615,3,6,.500,0,0,,0,2,2,1,0,0,0,3,19,-10
Isaiah Stewart,24:20,7,11,.636,1,1,1.000,4,6,.667,3,9,12,1,0,2,1,2,19,-9
Wayne Ellington,17:20,2,4,.500,2,4,.500,0,0,,1,3,4,1,0,0,1,1,6,+3
Saben Lee,15:08,2,4,.500,0,0,,0,0,,0,3,3,4,2,0,0,3,4,-8
Tyler Cook,14:50,2,2,1.000,0,0,,1,1,1.000,0,4,4,0,0,0,1,0,5,-12
Jahlil Okafor,7:17,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-2
Deividas Sirvydis,2:30,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,-2
