Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jerami Grant,34:20,.462,.417,.333,.292,3.1,10.0,6.9,21.2,0.0,0.0,6.9,32.4,103,115,-1.9
Cory Joseph,29:42,.667,.667,.333,.000,0.0,5.8,3.2,20.9,1.6,0.0,10.0,12.9,132,113,0.8
Mason Plumlee,28:56,.790,.778,.000,.444,11.1,53.3,34.5,30.3,0.0,5.2,15.7,16.9,144,100,13.9
Josh Jackson,27:19,.381,.286,.357,.286,3.9,3.1,3.5,22.0,0.0,2.7,16.0,26.3,85,114,-10.2
Saddiq Bey,26:47,.247,.143,.429,.357,15.9,19.2,17.7,10.1,0.0,2.8,5.8,24.6,75,111,-9.1
Wayne Ellington,20:40,.900,.900,1.000,.000,0.0,4.1,2.3,7.3,4.5,0.0,16.7,11.1,139,107,7.5
Hamidou Diallo,20:35,.340,.200,.000,.400,10.4,37.5,25.4,6.4,0.0,3.6,33.8,16.5,65,105,-9.9
Isaiah Stewart,19:04,.658,.611,.333,.222,16.8,9.0,12.5,0.0,0.0,7.9,0.0,19.8,146,108,4.8
Killian Hayes,18:18,.000,.000,.000,.000,0.0,9.4,5.2,33.6,0.0,0.0,83.3,12.5,36,115,-15.6
Frank Jackson,14:19,.654,.667,.667,.333,7.5,12.0,10.0,0.0,0.0,0.0,0.0,18.4,138,114,3.2
