Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Blake Griffin,44:20,9,21,.429,8,16,.500,0,0,,0,6,6,4,3,0,3,1,26,-16
Jerami Grant,42:31,9,14,.643,4,8,.500,6,8,.750,1,9,10,2,0,3,1,4,28,+2
Delon Wright,42:12,5,9,.556,2,3,.667,7,9,.778,3,3,6,4,0,1,1,0,19,-23
Mason Plumlee,32:47,3,6,.500,0,1,.000,0,0,,2,7,9,5,3,0,3,6,6,-2
Killian Hayes,19:30,1,7,.143,0,3,.000,1,2,.500,0,3,3,2,0,0,2,2,3,-5
Derrick Rose,33:07,4,15,.267,1,2,.500,4,6,.667,1,3,4,4,0,0,6,1,13,-3
Sviatoslav Mykhailiuk,23:34,4,9,.444,1,6,.167,3,3,1.000,0,3,3,2,2,0,3,2,12,+3
Josh Jackson,18:42,2,6,.333,0,3,.000,2,2,1.000,0,8,8,1,1,1,3,0,6,+9
Jahlil Okafor,18:27,3,4,.750,0,0,,0,0,,1,3,4,0,0,0,0,3,6,+9
Sekou Doumbouya,8:48,0,5,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,0,0,-18
Saddiq Bey,6:01,0,2,.000,0,2,.000,0,2,.000,1,1,2,0,0,0,0,1,0,-1
