Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jerami Grant,37:02,.561,.500,.429,.333,7.5,15.7,10.7,5.6,3.8,6.0,14.2,30.4,105,106,1.8
Josh Jackson,29:27,.485,.429,.357,.571,6.3,19.8,11.5,19.4,1.6,3.8,5.4,25.2,110,112,-1.5
Mason Plumlee,24:49,.148,.000,.200,.800,18.6,29.3,22.8,11.1,0.0,4.5,30.7,15.8,58,115,-14.4
Blake Griffin,16:59,1.031,1.000,.667,.667,0.0,42.8,16.6,28.9,2.8,0.0,0.0,9.2,218,111,13.4
Killian Hayes,16:57,.000,.000,.500,.000,0.0,0.0,0.0,8.1,0.0,0.0,33.3,14.2,11,121,-22.4
Delon Wright,28:01,.500,.500,.400,.000,0.0,5.2,2.0,16.3,0.0,0.0,28.6,10.0,87,120,-9.7
Derrick Rose,26:26,.397,.361,.222,.111,3.5,5.5,4.3,52.7,3.6,0.0,9.6,31.7,97,112,-3.2
Isaiah Stewart,23:11,.600,.600,.000,.000,15.9,18.8,17.1,7.2,0.0,9.6,0.0,8.6,150,112,-0.5
Saddiq Bey,15:09,.557,.500,.556,.222,0.0,28.8,11.2,0.0,0.0,0.0,9.2,28.8,107,117,-4.1
Sviatoslav Mykhailiuk,11:55,.750,.750,1.000,.000,0.0,24.4,9.5,0.0,3.9,0.0,0.0,13.5,149,109,4.8
Sekou Doumbouya,10:04,.781,.625,.250,1.000,9.2,14.4,11.2,0.0,0.0,0.0,0.0,22.9,173,119,8.9
