Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jerami Grant,38:27,9,18,.500,2,5,.400,7,8,.875,0,4,4,4,0,3,1,4,27,-6
Delon Wright,31:51,4,13,.308,0,3,.000,0,0,,0,5,5,1,4,0,2,1,8,-14
Blake Griffin,29:24,4,13,.308,1,6,.167,2,3,.667,0,3,3,2,1,0,3,0,11,-16
Mason Plumlee,28:16,7,11,.636,0,0,,3,3,1.000,6,8,14,2,1,0,0,2,17,-19
Wayne Ellington,18:09,1,7,.143,0,2,.000,1,1,1.000,1,1,2,1,0,0,1,2,3,-20
Josh Jackson,29:51,7,15,.467,3,7,.429,5,5,1.000,3,5,8,2,0,2,6,3,22,+8
Isaiah Stewart,19:44,2,3,.667,0,0,,0,0,,2,3,5,1,0,0,0,2,4,+7
Rodney McGruder,16:09,2,5,.400,1,1,1.000,0,0,,0,2,2,3,0,0,1,3,5,+2
Sekou Doumbouya,12:07,0,1,.000,0,0,,0,0,,0,1,1,2,1,0,1,2,0,-2
Saddiq Bey,10:49,2,6,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,1,5,+9
Sviatoslav Mykhailiuk,5:12,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,-9
