Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jerami Grant,39:24,.360,.300,.500,.250,2.5,2.7,2.6,12.2,1.3,3.5,15.3,28.3,74,117,-8.9
Mason Plumlee,34:03,.625,.625,.000,.000,11.5,34.5,22.5,29.2,1.5,4.0,42.9,17.5,91,106,-0.2
Saddiq Bey,32:11,.583,.583,.750,.000,0.0,9.9,4.8,5.2,0.0,0.0,7.7,17.2,106,120,-3.8
Wayne Ellington,28:24,.446,.389,.778,.556,0.0,3.8,1.8,27.3,1.7,0.0,0.0,16.8,115,118,-0.2
Delon Wright,24:54,1.143,1.143,.714,.000,0.0,12.9,6.2,31.6,4.0,0.0,12.5,13.7,182,110,17.7
Josh Jackson,23:37,.663,.650,.500,.300,8.3,22.6,15.1,17.1,0.0,0.0,20.9,25.8,106,116,0.2
Dennis Smith,23:06,.000,.000,.571,.000,4.2,13.9,8.8,28.9,6.4,8.9,22.2,16.6,42,98,-3.4
Sviatoslav Mykhailiuk,14:11,.500,.500,.800,.000,6.9,15.0,10.8,11.6,0.0,0.0,28.6,21.0,78,118,-10.2
Isaiah Stewart,13:57,.400,.400,.000,.000,28.1,7.6,18.3,0.0,0.0,0.0,28.6,21.4,78,120,-14.8
Sekou Doumbouya,6:13,.833,.833,.333,.000,0.0,34.3,16.4,0.0,0.0,0.0,0.0,20.5,151,112,13.1
