Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jerami Grant,37:26,9,24,.375,2,9,.222,4,5,.800,1,4,5,0,1,0,2,2,24,+6
Saddiq Bey,30:11,5,11,.455,5,8,.625,2,4,.500,0,7,7,1,2,0,2,1,17,+13
Mason Plumlee,29:36,3,5,.600,0,0,,2,4,.500,5,12,17,1,2,1,1,1,8,+8
Josh Jackson,26:04,5,12,.417,1,3,.333,0,0,,1,1,2,2,1,1,4,3,11,+18
Killian Hayes,23:24,0,6,.000,0,2,.000,0,0,,0,1,1,6,0,0,2,2,0,-2
Derrick Rose,24:11,7,12,.583,0,3,.000,3,4,.750,0,5,5,4,2,0,4,2,17,+4
Delon Wright,21:56,1,4,.250,0,1,.000,0,0,,2,0,2,2,0,0,2,1,2,-15
Isaiah Stewart,18:24,3,4,.750,0,0,,2,3,.667,2,2,4,0,0,0,1,3,8,-5
Sviatoslav Mykhailiuk,17:49,3,7,.429,3,6,.500,0,0,,0,0,0,0,1,0,0,0,9,-10
Sekou Doumbouya,10:59,0,3,.000,0,2,.000,0,0,,1,4,5,2,0,0,1,1,0,-2
