Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jerami Grant,37:05,.470,.429,.286,.143,0.0,8.6,4.7,23.2,0.0,0.0,0.0,19.1,110,107,1.6
Blake Griffin,35:21,.681,.656,.625,.125,0.0,9.1,5.0,28.0,0.0,0.0,0.0,22.8,140,107,11.4
Wayne Ellington,28:39,.833,.833,.750,.000,0.0,7.4,4.1,11.9,0.0,0.0,14.3,23.3,125,108,10.0
Delon Wright,26:44,.429,.429,.286,.000,9.7,23.9,17.5,31.1,3.9,0.0,0.0,12.5,128,92,8.6
Mason Plumlee,26:44,.912,.875,.000,.375,0.0,39.9,21.9,13.1,0.0,3.0,0.0,16.6,187,92,12.4
Isaiah Stewart,21:16,.515,.333,.167,.667,18.3,15.0,16.5,0.0,0.0,3.8,0.0,17.4,127,102,-1.1
Derrick Rose,20:21,.543,.500,.167,.167,0.0,5.2,2.9,27.4,5.2,0.0,13.4,34.8,99,97,4.4
Josh Jackson,17:09,.250,.250,.667,.000,0.0,12.4,6.8,15.0,0.0,0.0,25.0,22.2,51,105,-15.6
Sekou Doumbouya,12:39,.200,.200,.600,.000,0.0,8.4,4.6,0.0,0.0,0.0,28.6,26.4,28,106,-29.4
Sviatoslav Mykhailiuk,12:12,.000,.000,1.000,.000,0.0,17.5,9.6,0.0,0.0,0.0,0.0,3.9,0,104,-9.2
Frank Jackson,0:55,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111,-6.6
Deividas Sirvydis,0:55,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111,-5.2
