Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Sviatoslav Mykhailiuk,36:47,.715,.773,.818,.182,6.7,5.9,6.3,3.2,2.7,0.0,25.2,18.5,98,111,-4.2
Mason Plumlee,28:19,.493,.500,.000,.417,13.0,30.8,22.5,44.8,1.8,4.1,12.3,24.5,127,106,5.3
Dennis Smith,27:09,.506,.444,.556,.222,9.1,40.2,25.6,45.5,5.5,0.0,23.3,20.3,126,98,7.0
Wayne Ellington,26:14,1.093,1.091,1.000,.091,4.7,8.3,6.6,0.0,3.8,0.0,0.0,18.6,197,108,19.4
Saddiq Bey,24:19,.389,.389,.556,.000,0.0,17.9,9.5,9.4,0.0,0.0,0.0,15.8,99,115,-11.7
Sekou Doumbouya,27:20,.533,.500,.500,.125,0.0,4.0,2.1,4.3,1.8,0.0,10.6,14.8,102,114,-10.0
Rodney McGruder,26:08,.653,.643,.429,.214,4.7,8.3,6.6,26.1,3.8,0.0,0.0,25.1,149,108,8.6
Saben Lee,20:51,.758,.727,.000,.455,11.8,10.5,11.1,54.5,0.0,5.6,13.2,31.2,151,113,10.4
Isaiah Stewart,19:41,.600,.600,.000,.000,6.3,27.7,17.6,12.0,0.0,11.9,0.0,10.9,147,105,-1.0
Deividas Sirvydis,3:12,.266,.000,1.000,2.000,0.0,34.1,18.1,0.0,0.0,0.0,0.0,25.1,65,112,-28.9
