Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jerami Grant,35:36,7,17,.412,1,5,.200,7,8,.875,1,2,3,2,0,1,3,2,22,-10
Delon Wright,31:23,5,10,.500,2,3,.667,1,2,.500,0,4,4,5,3,0,2,2,13,-3
Saddiq Bey,28:39,4,13,.308,2,9,.222,3,4,.750,1,4,5,2,0,2,0,0,13,-4
Mason Plumlee,28:26,5,11,.455,0,0,,1,2,.500,3,6,9,6,1,0,0,3,11,+1
Wayne Ellington,26:14,3,8,.375,3,8,.375,0,0,,0,1,1,1,0,0,2,0,9,+5
Rodney McGruder,28:21,5,10,.500,0,3,.000,0,0,,3,4,7,2,3,0,1,2,10,-4
Josh Jackson,22:14,3,10,.300,0,4,.000,2,2,1.000,0,4,4,3,1,2,2,3,8,-4
Isaiah Stewart,19:34,4,7,.571,0,0,,1,2,.500,3,5,8,0,2,3,1,2,9,-6
Saben Lee,16:37,0,3,.000,0,0,,0,0,,1,4,5,5,0,0,1,2,0,-2
Sekou Doumbouya,2:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
