Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,34:35,12,25,.480,4,13,.308,5,5,1.000,0,4,4,5,0,2,4,3,33,+5
Andrew Wiggins,34:26,9,16,.563,5,8,.625,0,0,,0,6,6,6,0,0,1,4,23,+20
Draymond Green,32:18,2,8,.250,1,4,.250,0,0,,0,10,10,8,3,2,6,2,5,-1
Kevon Looney,27:58,4,7,.571,0,1,.000,0,0,,4,6,10,2,0,0,1,3,8,+24
Kent Bazemore,23:53,2,4,.500,1,2,.500,0,0,,1,3,4,3,0,0,2,3,5,+2
Juan Toscano-Anderson,30:32,8,9,.889,3,4,.750,1,2,.500,2,5,7,3,1,1,1,0,20,+21
Jordan Poole,23:18,5,12,.417,2,8,.250,2,3,.667,0,0,0,4,3,0,0,3,14,+21
Damion Lee,23:08,5,8,.625,1,4,.250,0,0,,1,4,5,1,1,0,0,4,11,+16
Mychal Mulder,5:58,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-9
Gary Payton,1:18,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-3
Nico Mannion,1:18,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-3
Alen Smailagić,1:18,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3
