Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Mychal Mulder,30:55,.813,.813,.688,.000,3.0,14.8,8.3,0.0,0.0,0.0,5.9,23.4,135,136,6.0
Andrew Wiggins,30:35,.487,.273,.364,.909,12.3,0.0,6.8,26.8,3.1,5.5,16.3,25.7,108,128,-0.3
Stephen Curry,29:50,.683,.639,.500,.222,0.0,3.8,1.7,16.5,3.1,0.0,9.2,31.1,119,131,7.3
Draymond Green,28:44,.000,.000,1.000,.000,0.0,43.8,19.8,14.7,4.9,5.9,85.7,10.4,23,115,-10.2
Kevon Looney,20:37,.333,.333,.333,.000,9.1,11.1,10.0,7.4,2.3,0.0,0.0,6.2,111,132,-6.8
Kelly Oubre,23:08,.370,.300,.700,.800,4.1,9.9,6.7,0.0,2.0,0.0,0.0,24.9,83,132,-10.9
Jordan Poole,22:03,.336,.286,.500,.143,4.3,20.7,11.7,23.8,0.0,0.0,11.8,32.6,74,135,-13.5
Juan Toscano-Anderson,20:22,.333,.333,.333,.000,4.6,16.8,10.1,29.8,0.0,0.0,50.0,12.6,71,136,-14.6
Gary Payton,13:49,1.000,1.000,.000,.000,0.0,24.8,11.2,12.8,3.4,0.0,0.0,6.2,208,126,-0.7
Nico Mannion,13:26,.625,.625,.500,.000,0.0,17.0,7.7,66.5,0.0,0.0,20.0,15.9,130,136,0.4
Alen Smailagić,6:31,.500,.500,.000,.000,0.0,17.5,7.9,27.7,7.2,12.9,0.0,13.1,119,109,11.7
