Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Stephen Curry,28:58,.495,.412,.588,.294,0.0,15.1,6.4,41.3,1.5,0.0,9.4,29.0,102,128,1.5
James Wiseman,25:03,.660,.591,.364,.545,9.7,21.8,14.9,0.0,0.0,10.6,12.8,24.8,121,123,3.8
Eric Paschall,24:59,.415,.375,.375,.125,3.3,4.4,3.7,6.8,1.8,0.0,10.6,15.0,84,130,-8.9
Andrew Wiggins,24:54,.333,.333,.222,.000,9.8,13.1,11.2,0.0,1.8,0.0,5.3,30.3,72,128,-11.6
Kelly Oubre,19:46,.138,.100,.500,.200,4.1,22.1,11.8,7.7,2.3,0.0,15.5,25.8,33,125,-20.6
Brad Wanamaker,19:02,.698,.643,.286,.286,0.0,5.7,2.4,21.1,2.3,0.0,0.0,16.4,147,128,3.2
Jordan Poole,19:02,.463,.409,.545,.182,0.0,5.7,2.4,0.0,0.0,0.0,0.0,24.8,96,134,-6.1
Damion Lee,18:54,.846,.750,1.000,.750,0.0,11.5,4.9,8.8,0.0,0.0,15.8,13.3,144,133,0.7
Mychal Mulder,17:34,.375,.375,1.000,.000,0.0,18.6,8.0,0.0,0.0,5.1,0.0,9.0,78,128,-6.3
Marquese Chriss,14:17,.347,.250,.500,1.000,0.0,38.2,16.3,11.0,0.0,12.4,25.8,21.6,58,119,-8.0
Juan Toscano-Anderson,12:33,,,,,6.5,17.4,11.1,11.2,0.0,0.0,,0.0,228,132,-8.4
Kevon Looney,11:01,.333,.333,.333,.000,7.4,19.8,12.7,0.0,0.0,0.0,0.0,10.8,84,131,-10.9
Kent Bazemore,3:56,.000,.000,.000,.000,0.0,0.0,0.0,35.9,0.0,0.0,0.0,20.2,24,134,-20.1
