Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Wiggins,38:14,6,16,.375,1,8,.125,2,5,.400,0,2,2,3,0,1,1,0,15,+10
Stephen Curry,38:09,12,21,.571,7,14,.500,7,7,1.000,0,11,11,8,3,0,3,0,38,+4
Draymond Green,36:30,1,7,.143,0,3,.000,0,0,,1,10,11,7,2,2,5,5,2,+7
Kelly Oubre,26:17,5,11,.455,1,3,.333,1,2,.500,0,1,1,2,0,0,1,4,12,-25
Kevon Looney,13:20,2,5,.400,0,0,,0,0,,3,0,3,3,0,0,0,1,4,+5
Juan Toscano-Anderson,26:53,6,9,.667,3,3,1.000,1,1,1.000,1,1,2,1,1,1,0,4,16,-8
Kent Bazemore,17:01,3,4,.750,2,3,.667,2,2,1.000,1,1,2,3,2,0,0,4,10,+16
Damion Lee,14:43,1,4,.250,0,2,.000,0,0,,0,3,3,2,0,0,0,2,2,-11
Eric Paschall,14:03,1,4,.250,0,0,,3,6,.500,0,0,0,0,0,0,1,0,5,-8
Brad Wanamaker,12:08,1,2,.500,1,1,1.000,0,0,,0,1,1,1,1,0,0,2,3,-11
Mychal Mulder,2:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+1
