Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kelly Oubre,37:37,.850,.833,.400,.133,4.4,13.9,10.2,11.3,1.2,0.0,11.2,20.2,142,115,5.6
Draymond Green,35:53,.688,.688,.375,.000,4.6,32.0,21.4,61.5,1.2,2.8,38.5,15.4,131,108,9.0
Stephen Curry,35:53,.747,.633,.533,.667,0.0,11.6,7.1,32.3,1.2,0.0,17.1,27.7,134,116,4.8
Andrew Wiggins,32:34,.464,.471,.294,.176,5.1,6.4,5.9,11.7,1.4,3.1,9.8,26.5,90,116,-8.2
Kevon Looney,19:48,1.050,1.000,.000,1.333,0.0,5.3,3.2,6.0,2.3,0.0,0.0,10.2,224,115,5.2
Damion Lee,18:25,1.330,1.500,1.000,2.000,9.0,11.3,10.4,6.1,7.3,0.0,21.0,11.0,191,102,16.2
James Wiseman,16:49,.735,.700,.000,.200,0.0,24.8,15.2,0.0,0.0,0.0,15.5,32.5,111,115,-4.6
Eric Paschall,14:55,.600,.600,.000,.000,0.0,21.0,12.9,8.4,3.0,0.0,37.5,22.8,70,109,-9.1
Brad Wanamaker,12:07,.333,.333,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,40.0,17.5,37,122,-21.7
Kent Bazemore,10:58,1.000,1.000,.000,.000,0.0,9.5,5.8,0.0,4.1,9.1,66.7,11.6,43,104,-6.5
Juan Toscano-Anderson,4:44,,,,,0.0,0.0,0.0,21.1,0.0,0.0,,0.0,223,123,2.1
Mychal Mulder,0:17,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-5.8
