Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,35:53,7,17,.412,3,8,.375,3,5,.600,1,3,4,3,2,0,2,3,20,-2
Andrew Wiggins,34:58,7,17,.412,4,9,.444,4,7,.571,2,5,7,3,0,5,2,2,22,-15
Draymond Green,31:56,2,7,.286,0,2,.000,3,3,1.000,1,5,6,10,2,0,3,3,7,-3
Kelly Oubre,29:06,6,11,.545,3,7,.429,2,2,1.000,0,5,5,2,0,1,1,1,17,+6
James Wiseman,26:03,4,12,.333,0,0,,0,2,.000,4,5,9,0,0,2,2,5,8,-11
Damion Lee,26:49,5,11,.455,2,7,.286,0,0,,1,2,3,0,1,0,2,2,12,-14
Kent Bazemore,19:15,1,3,.333,0,1,.000,1,1,1.000,0,2,2,3,2,0,2,2,3,-13
Kevon Looney,15:38,1,2,.500,0,0,,1,2,.500,1,8,9,1,0,0,1,1,3,+13
Brad Wanamaker,12:07,0,6,.000,0,1,.000,0,0,,0,1,1,3,1,0,0,1,0,-7
Mychal Mulder,8:15,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,+1
