Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kelly Oubre,37:05,.582,.556,.444,.222,6.0,6.6,6.3,0.0,2.6,4.8,0.0,23.5,115,111,3.6
Stephen Curry,35:37,.518,.432,.545,.318,0.0,3.5,1.6,28.4,1.3,0.0,13.8,36.0,98,118,-1.3
Andrew Wiggins,31:47,.731,.773,.455,.273,0.0,11.6,5.5,4.5,1.5,0.0,0.0,17.1,133,115,3.9
Draymond Green,30:54,.583,.583,.333,.000,0.0,31.9,15.2,35.5,1.5,0.0,33.3,12.8,107,109,0.8
James Wiseman,12:51,.500,.500,.000,.000,0.0,28.7,13.7,0.0,3.7,6.9,55.6,30.9,37,100,-22.7
Kevon Looney,19:21,1.167,1.167,.333,.000,5.8,31.8,18.2,6.8,0.0,0.0,0.0,6.8,231,112,5.2
Eric Paschall,19:16,.745,.727,.091,.364,5.8,19.2,12.2,31.1,2.5,0.0,0.0,29.2,152,111,17.4
Damion Lee,18:04,.500,.500,1.000,.000,0.0,6.8,3.2,12.9,2.6,0.0,0.0,7.3,117,114,-0.4
Brad Wanamaker,16:59,.400,.400,.200,.000,6.6,0.0,3.4,36.9,0.0,0.0,16.7,15.6,106,121,-4.2
Kent Bazemore,12:41,.515,.500,1.000,.667,0.0,9.7,4.6,18.8,0.0,0.0,0.0,13.5,119,119,0.0
Jordan Poole,5:23,.000,.000,1.000,.000,0.0,0.0,0.0,20.3,0.0,0.0,0.0,8.2,55,122,-8.2
