Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Draymond Green,34:21,.145,.000,.333,.333,9.3,25.4,17.3,41.3,1.4,4.8,36.8,13.6,91,99,-2.2
Andrew Wiggins,34:21,.715,.708,.458,.375,6.2,19.1,12.6,22.9,5.5,0.0,6.7,37.4,132,95,19.0
Jordan Poole,34:11,.787,.767,.400,.133,3.1,3.2,3.2,9.4,1.4,0.0,0.0,19.9,155,107,6.0
Kelly Oubre,28:53,.286,.286,.429,.000,0.0,15.1,7.5,4.1,1.6,5.7,12.5,11.9,57,100,-8.2
Kevon Looney,20:33,.917,.917,.333,.000,5.2,15.9,10.5,21.7,6.8,4.0,14.3,14.6,157,90,13.9
Damion Lee,27:51,.706,.714,.571,.143,3.8,15.7,9.7,11.4,1.7,3.0,6.3,24.5,127,102,8.0
Brad Wanamaker,15:09,.470,.429,.429,.143,0.0,7.2,3.6,0.0,0.0,0.0,21.2,26.7,70,109,-20.0
Nico Mannion,13:51,.000,.000,.750,.000,0.0,15.8,7.8,7.9,3.4,0.0,0.0,12.4,19,100,-14.3
Kent Bazemore,12:33,.387,.333,.000,.667,0.0,26.1,12.9,19.0,0.0,0.0,20.5,16.7,82,105,-10.8
Mychal Mulder,8:32,.500,.500,1.000,.000,0.0,25.6,12.6,0.0,0.0,0.0,0.0,15.1,95,106,-5.8
Juan Toscano-Anderson,8:13,.000,.000,.000,.000,0.0,13.3,6.6,39.8,5.7,0.0,50.0,10.4,72,96,0.1
Alen Smailagić,1:32,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,111,-35.7
