Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,38:03,10,21,.476,3,9,.333,3,3,1.000,0,4,4,5,1,0,0,4,26,-12
Andrew Wiggins,35:11,4,14,.286,2,5,.400,10,12,.833,1,8,9,2,2,0,3,3,20,-8
Draymond Green,31:21,2,4,.500,0,0,,3,4,.750,3,5,8,3,1,1,2,3,7,-27
Kelly Oubre,28:19,4,13,.308,1,4,.250,3,5,.600,2,4,6,2,0,2,1,3,12,-19
Alen Smailagić,8:04,1,5,.200,1,4,.250,0,0,,0,0,0,0,0,0,0,5,3,-6
Juan Toscano-Anderson,24:28,4,7,.571,3,5,.600,0,0,,0,6,6,6,3,2,0,1,11,+15
Kent Bazemore,22:13,2,7,.286,1,3,.333,3,4,.750,1,4,5,3,1,2,2,3,8,+7
Damion Lee,18:21,1,5,.200,1,4,.250,2,2,1.000,0,3,3,1,0,0,2,1,5,+4
Nico Mannion,12:49,3,6,.500,1,2,.500,2,2,1.000,0,2,2,0,0,0,1,1,9,0
Brad Wanamaker,11:21,0,4,.000,0,2,.000,0,0,,0,3,3,0,0,0,0,1,0,+8
Mychal Mulder,9:50,0,4,.000,0,3,.000,2,2,1.000,0,0,0,1,0,0,0,0,2,-2
