Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Wiggins,33:54,8,14,.571,2,5,.400,2,2,1.000,0,2,2,2,0,2,4,3,20,+24
Stephen Curry,30:22,9,23,.391,7,17,.412,5,7,.714,0,5,5,5,1,0,4,0,30,+25
Draymond Green,29:18,3,5,.600,0,2,.000,3,4,.750,0,11,11,8,1,0,1,3,9,+27
Kent Bazemore,28:41,2,7,.286,2,5,.400,0,0,,1,9,10,3,2,1,1,1,6,+16
Kevon Looney,24:32,3,5,.600,0,0,,0,3,.000,1,4,5,4,0,0,1,4,6,+18
Juan Toscano-Anderson,34:21,2,4,.500,0,1,.000,2,2,1.000,1,5,6,4,4,5,3,2,6,+10
Jordan Poole,25:01,5,12,.417,2,8,.250,5,6,.833,0,3,3,6,2,0,1,1,17,+4
Mychal Mulder,23:23,6,9,.667,5,7,.714,0,0,,1,4,5,0,0,0,1,3,17,+8
Nico Mannion,5:14,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-1
Alen Smailagić,5:14,0,3,.000,0,0,,0,0,,0,3,3,0,0,0,1,1,0,-1
