Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Christian Wood,33:22,3,11,.273,1,6,.167,8,13,.615,2,10,12,3,1,0,2,2,15,-15
Kevin Porter,31:51,5,15,.333,2,3,.667,0,0,,1,4,5,5,0,1,8,4,12,-13
Sterling Brown,27:51,4,8,.500,2,4,.500,2,2,1.000,1,3,4,2,0,0,0,4,12,-6
Jae'Sean Tate,26:14,7,11,.636,3,6,.500,2,2,1.000,1,4,5,3,1,0,2,5,19,+7
Danuel House,11:46,0,2,.000,0,1,.000,1,2,.500,0,1,1,1,0,0,0,2,1,-6
Kelly Olynyk,33:21,9,17,.529,5,13,.385,3,3,1.000,1,7,8,3,0,1,0,2,26,-7
Avery Bradley,26:18,2,9,.222,1,3,.333,0,0,,0,0,0,3,0,0,2,2,5,-4
Kenyon Martin,20:46,4,5,.800,0,0,,1,2,.500,2,3,5,0,1,1,0,3,9,-3
D.J. Augustin,19:41,4,8,.500,1,3,.333,0,0,,1,5,6,5,0,0,3,0,9,+6
D.J. Wilson,8:50,3,3,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,7,+6
