Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
John Wall,36:54,.693,.711,.368,.316,2.7,3.2,2.9,34.1,1.3,2.3,21.7,31.3,113,124,6.3
Christian Wood,35:06,.605,.571,.286,.143,2.8,20.0,10.6,13.6,0.0,0.0,25.2,23.7,96,126,-6.1
Kevin Porter,33:16,.346,.346,.462,.000,2.9,14.1,8.0,16.4,1.4,0.0,23.5,21.4,70,124,-12.7
Kelly Olynyk,32:20,.610,.615,.385,.308,15.1,21.7,18.1,14.6,0.0,0.0,6.3,20.4,132,125,1.2
Jae'Sean Tate,32:12,.322,.300,.300,.200,12.2,25.5,18.2,4.1,5.8,2.7,8.4,15.4,85,109,-4.3
D.J. Augustin,22:24,.816,.722,.778,.667,0.0,15.7,7.1,42.5,0.0,0.0,0.0,21.7,182,126,15.3
Avery Bradley,18:07,.500,.500,1.000,.000,0.0,12.9,5.9,6.9,5.2,0.0,25.0,9.2,84,115,-1.3
Kenyon Martin,16:02,.500,.500,.500,.000,0.0,14.6,6.7,0.0,0.0,5.3,0.0,5.2,104,123,-4.9
D.J. Wilson,9:19,.300,.300,.200,.000,10.5,12.6,11.4,0.0,0.0,0.0,0.0,22.4,79,127,-14.0
Sterling Brown,4:20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,129,-8.6
