Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae'Sean Tate,31:27,5,11,.455,2,4,.500,0,0,,5,3,8,2,3,0,1,2,12,-17
Eric Gordon,27:59,5,18,.278,1,10,.100,2,3,.667,0,3,3,4,0,0,2,2,13,-24
John Wall,26:12,4,14,.286,1,3,.333,6,7,.857,0,3,3,7,0,0,2,1,15,-29
Danuel House,26:02,5,9,.556,4,5,.800,1,2,.500,1,5,6,2,1,0,0,1,15,-37
P.J. Tucker,22:35,0,3,.000,0,2,.000,0,0,,0,2,2,0,1,0,0,1,0,-23
Sterling Brown,27:41,6,9,.667,4,4,1.000,0,1,.000,0,4,4,2,0,0,1,0,16,+7
David Nwaba,26:51,9,16,.563,1,3,.333,3,5,.600,4,5,9,2,2,0,1,3,22,+8
Justin Patton,21:27,2,6,.333,0,2,.000,0,0,,1,5,6,0,0,3,0,4,4,+8
Ben McLemore,11:21,0,5,.000,0,5,.000,0,0,,0,2,2,1,0,0,0,0,0,-6
Rodions Kurucs,9:44,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,1,1,0,0,+5
Mason Jones,8:41,1,3,.333,0,0,,1,1,1.000,0,2,2,0,0,0,1,2,3,+8
