Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,38:28,5,17,.294,3,11,.273,8,10,.800,0,3,3,10,2,0,2,1,21,-24
P.J. Tucker,35:16,0,1,.000,0,1,.000,0,0,,1,3,4,0,0,0,2,3,0,-18
John Wall,33:00,4,10,.400,1,3,.333,5,5,1.000,1,3,4,4,0,0,2,2,14,-13
Christian Wood,32:44,8,15,.533,0,5,.000,7,8,.875,1,6,7,0,1,1,3,3,23,-18
David Nwaba,28:59,2,6,.333,1,3,.333,0,4,.000,0,2,2,1,1,0,0,3,5,-17
Eric Gordon,25:54,5,12,.417,4,10,.400,6,6,1.000,1,4,5,2,1,1,1,2,20,+10
Jae'Sean Tate,24:50,3,6,.500,1,1,1.000,1,1,1.000,2,4,6,0,0,0,1,3,8,+5
Sterling Brown,15:37,1,5,.200,1,4,.250,2,2,1.000,0,1,1,0,0,0,0,1,5,+7
DeMarcus Cousins,2:53,2,4,.500,0,1,.000,0,0,,1,2,3,0,0,2,1,1,4,+5
Brodric Thomas,1:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Bruno Caboclo,1:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
