Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
James Harden,30:55,.440,.344,.375,.313,2.9,21.7,11.2,30.8,1.5,0.0,14.2,28.1,91,115,-4.3
John Wall,29:54,.406,.364,.091,.273,0.0,0.0,0.0,25.4,3.1,3.1,19.6,21.0,79,115,-4.8
Christian Wood,25:54,.500,.500,.278,.000,6.9,25.9,15.3,8.0,0.0,0.0,10.0,31.7,91,117,-2.9
P.J. Tucker,22:53,.000,.000,1.000,.000,0.0,4.9,2.2,5.5,4.0,4.0,0.0,1.8,49,110,-4.7
David Nwaba,10:28,,,,,0.0,10.7,4.7,0.0,0.0,8.8,,0.0,0,116,-4.7
Jae'Sean Tate,25:07,.477,.444,.222,.111,3.5,8.9,5.9,0.0,1.8,3.7,0.0,15.4,101,114,-6.0
Eric Gordon,20:37,.650,.650,.800,.000,0.0,0.0,0.0,17.7,2.2,4.5,0.0,19.9,129,116,9.0
Sterling Brown,17:55,.143,.143,.429,.000,9.9,0.0,5.5,7.6,10.3,0.0,12.5,18.3,48,100,-6.5
DeMarcus Cousins,17:51,.689,.667,.444,.111,14.9,43.8,27.7,32.9,2.6,0.0,9.6,24.0,135,106,13.5
Ben McLemore,16:55,.611,.611,.667,.000,0.0,19.8,8.8,10.6,2.7,0.0,25.0,29.1,84,113,-1.2
Mason Jones,12:00,.434,.375,.750,1.000,0.0,27.9,12.4,11.8,3.8,0.0,0.0,19.7,98,107,-1.6
Kenyon Martin,5:16,.000,.000,.500,.000,0.0,0.0,0.0,48.0,0.0,0.0,0.0,15.6,49,124,-9.5
Bruno Caboclo,4:15,.798,1.000,.000,2.000,20.9,78.8,46.6,0.0,0.0,0.0,0.0,18.1,168,104,7.6
