Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae'Sean Tate,32:51,5,10,.500,0,0,,0,0,,3,6,9,3,1,3,1,4,10,+21
Kevin Porter,30:40,10,15,.667,3,5,.600,2,3,.667,0,4,4,2,0,0,3,2,25,+29
John Wall,25:42,5,14,.357,2,6,.333,1,1,1.000,0,3,3,12,1,1,1,1,13,+8
Kelly Olynyk,25:09,5,8,.625,4,6,.667,2,2,1.000,0,4,4,4,3,0,1,4,16,+21
Sterling Brown,23:08,6,8,.750,4,6,.667,0,0,,3,4,7,0,0,0,2,1,16,+9
Ben McLemore,26:13,4,11,.364,2,6,.333,2,3,.667,0,1,1,0,1,0,0,4,12,+7
D.J. Augustin,24:17,8,14,.571,2,5,.400,2,2,1.000,1,2,3,4,0,0,1,2,20,+13
Kenyon Martin,23:10,3,3,1.000,1,1,1.000,1,1,1.000,1,5,6,1,0,1,1,4,8,+8
D.J. Wilson,16:40,2,3,.667,0,0,,1,1,1.000,2,1,3,3,1,2,1,2,5,+6
Anthony Lamb,7:05,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,1,0,2,-7
Justin Patton,5:05,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,-5
