Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Domantas Sabonis,32:42,3,12,.250,1,2,.500,9,12,.750,3,12,15,6,0,2,4,4,16,+6
Caris LeVert,28:45,4,12,.333,0,2,.000,3,3,1.000,1,6,7,3,1,1,1,5,11,+6
Malcolm Brogdon,28:05,4,14,.286,0,5,.000,3,4,.750,1,3,4,4,1,0,1,3,11,-5
Justin Holiday,23:25,1,3,.333,1,3,.333,0,0,,0,3,3,1,0,1,1,1,3,-6
Edmond Sumner,20:56,4,5,.800,1,1,1.000,3,3,1.000,0,0,0,1,1,1,0,2,12,+8
T.J. McConnell,26:56,3,7,.429,0,3,.000,2,2,1.000,0,2,2,9,2,1,1,1,8,-8
Aaron Holiday,23:18,7,14,.500,6,10,.600,0,0,,0,2,2,2,1,1,4,1,20,+12
Doug McDermott,21:21,8,13,.615,1,3,.333,2,2,1.000,3,3,6,0,1,0,0,1,19,+1
Jeremy Lamb,19:13,2,5,.400,0,1,.000,2,2,1.000,0,3,3,0,1,1,1,2,6,+12
Goga Bitadze,15:19,2,7,.286,1,3,.333,0,0,,3,4,7,0,0,2,1,4,5,-1
