Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Oshae Brissett,39:37,.660,.636,.636,.545,5.5,19.0,12.8,3.6,2.4,8.5,6.8,15.9,126,121,4.1
Malcolm Brogdon,27:40,.527,.393,.500,.500,0.0,13.6,7.3,22.2,0.0,0.0,14.9,31.3,99,135,-7.9
Caris LeVert,23:56,.538,.500,.143,.143,0.0,11.8,6.3,15.5,0.0,5.6,6.3,28.6,103,132,-2.4
JaKarr Sampson,22:56,.600,.600,.000,.000,14.3,8.2,11.0,6.2,0.0,5.9,44.4,16.9,82,134,-11.4
Edmond Sumner,20:10,.291,.250,.500,.333,0.0,9.3,5.0,12.7,2.3,0.0,22.5,19.0,57,131,-17.7
Justin Holiday,23:23,.625,.625,.750,.000,0.0,12.1,6.5,11.4,0.0,0.0,0.0,7.4,134,135,-5.7
T.J. McConnell,22:52,.563,.563,.125,.000,0.0,4.1,2.2,39.9,2.1,0.0,11.1,17.0,118,134,-1.5
Aaron Holiday,21:02,.254,.143,.286,.286,0.0,0.0,0.0,30.3,2.2,3.2,11.3,18.2,75,134,-7.6
Doug McDermott,14:26,.630,.667,.222,.333,7.6,13.0,10.5,16.6,3.3,0.0,0.0,30.8,125,127,5.2
Amida Brimah,8:32,1.042,1.000,.000,1.000,0.0,33.1,17.8,0.0,0.0,15.8,0.0,14.6,220,116,12.8
Kelan Martin,8:16,.922,1.000,.500,.500,13.2,11.4,12.2,0.0,0.0,0.0,0.0,25.5,166,135,12.7
Cassius Stanley,7:10,.694,.500,.500,1.000,0.0,26.3,14.1,20.1,0.0,0.0,0.0,17.3,154,128,3.8
