Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Domantas Sabonis,35:02,13,15,.867,2,2,1.000,4,6,.667,4,9,13,5,2,0,3,3,32,+21
Myles Turner,31:38,9,13,.692,3,6,.500,1,2,.500,1,10,11,3,0,5,4,4,22,+31
Justin Holiday,31:25,3,6,.500,2,4,.500,2,2,1.000,0,1,1,2,0,2,1,4,10,+24
Malcolm Brogdon,28:49,9,16,.563,2,5,.400,3,3,1.000,0,2,2,7,1,0,2,2,23,+20
Jeremy Lamb,26:40,6,9,.667,5,7,.714,2,2,1.000,2,3,5,3,1,0,1,0,19,+18
T.J. McConnell,28:35,3,7,.429,0,1,.000,0,2,.000,0,3,3,7,4,1,3,2,6,+16
Doug McDermott,22:33,5,9,.556,1,3,.333,0,0,,2,3,5,1,0,0,2,0,11,+6
Aaron Holiday,18:19,1,6,.167,1,1,1.000,3,6,.500,0,1,1,2,0,0,2,1,6,-8
Goga Bitadze,6:37,0,0,,0,0,,3,4,.750,0,0,0,0,0,0,0,3,3,-11
JaKarr Sampson,4:12,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,-7
Kelan Martin,3:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-10
Edmond Sumner,3:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-10
