Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Domantas Sabonis,39:13,.637,.583,.167,1.000,9.2,39.8,24.5,17.2,2.3,2.1,25.8,25.0,104,102,2.3
Malcolm Brogdon,34:59,.551,.500,.200,.200,3.4,6.9,5.1,17.7,1.3,0.0,15.5,31.0,98,112,-2.7
Justin Holiday,34:53,.429,.429,1.000,.000,0.0,6.9,3.4,8.0,1.3,0.0,12.5,9.6,84,112,-3.7
Myles Turner,31:30,.461,.346,.385,.385,3.8,26.7,15.2,9.9,1.5,5.3,6.2,21.6,99,104,-1.1
Doug McDermott,29:16,.588,.545,.545,.364,8.2,4.1,6.2,17.1,1.6,2.9,7.3,19.8,122,110,6.5
T.J. McConnell,27:05,.605,.571,.143,.143,0.0,22.2,11.1,35.6,6.8,3.1,35.0,17.8,93,95,6.5
Jeremy Lamb,19:04,.781,.625,.500,1.000,0.0,6.3,3.1,0.0,0.0,4.4,14.8,14.9,134,111,-1.1
Aaron Holiday,17:50,.510,.500,.400,.400,0.0,6.7,3.4,0.0,2.6,0.0,14.5,16.2,85,109,-4.6
Edmond Sumner,3:28,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,200,116,1.3
Goga Bitadze,2:42,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0,116,-25.8
