Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Domantas Sabonis,44:56,.610,.577,.385,.308,5.4,21.7,14.0,28.1,5.8,0.0,16.9,18.9,122,105,8.2
Myles Turner,42:12,.762,.750,.429,.071,2.9,20.5,12.2,3.6,0.0,6.6,12.2,18.6,128,114,2.7
Malcolm Brogdon,37:24,.569,.500,.278,.278,0.0,8.7,4.6,24.5,0.0,0.0,16.5,30.9,104,122,-6.1
Doug McDermott,36:21,.500,.500,.538,.000,3.3,14.9,9.4,15.1,0.0,0.0,0.0,17.1,115,121,-1.5
Justin Holiday,24:40,.750,.750,.500,.000,0.0,17.5,9.2,5.7,0.0,3.8,0.0,11.6,147,116,-2.3
T.J. McConnell,31:11,.429,.429,.000,.000,3.9,6.9,5.5,24.9,5.0,0.0,12.5,12.3,110,112,0.4
Jeremy Lamb,28:25,.628,.536,.357,.571,12.7,15.2,14.0,5.7,1.8,0.0,0.0,29.5,138,116,3.6
Aaron Holiday,17:00,.500,.500,.600,.000,0.0,6.4,3.4,0.0,0.0,5.5,0.0,14.1,98,120,-3.9
Edmond Sumner,2:31,.333,.333,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,66,123,-35.1
Goga Bitadze,0:20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,126,-7.8
