Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Domantas Sabonis,44:56,7,13,.538,1,5,.200,3,4,.750,2,9,11,9,5,0,3,2,18,+2
Myles Turner,42:12,9,14,.643,3,6,.500,1,1,1.000,1,8,9,1,0,3,2,3,22,+8
Malcolm Brogdon,37:24,8,18,.444,2,5,.400,5,5,1.000,0,3,3,6,0,0,4,3,23,+8
Doug McDermott,36:21,5,13,.385,3,7,.429,0,0,,1,5,6,4,0,0,0,1,13,+6
Justin Holiday,24:40,4,6,.667,1,3,.333,0,0,,0,4,4,1,0,1,0,6,9,+10
T.J. McConnell,31:11,3,7,.429,0,0,,0,0,,1,2,3,6,3,0,1,0,6,0
Jeremy Lamb,28:25,7,14,.500,1,5,.200,7,8,.875,3,4,7,1,1,0,0,3,22,-7
Aaron Holiday,17:00,2,5,.400,1,3,.333,0,0,,0,1,1,0,0,1,0,0,5,-9
Edmond Sumner,2:31,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-5
Goga Bitadze,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
