Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,33:41,10,19,.526,4,7,.571,4,6,.667,1,5,6,4,2,0,1,3,28,+14
Domantas Sabonis,33:04,5,13,.385,0,2,.000,4,4,1.000,3,8,11,4,1,1,3,3,14,+1
Malcolm Brogdon,32:00,7,14,.500,2,5,.400,0,0,,1,2,3,3,0,2,4,1,16,-1
Myles Turner,31:47,0,4,.000,0,1,.000,0,0,,1,4,5,1,0,3,0,1,0,-4
Justin Holiday,29:56,5,11,.455,2,7,.286,2,3,.667,0,0,0,3,3,0,0,4,14,+3
T.J. McConnell,21:41,3,7,.429,0,0,,0,0,,0,3,3,5,0,1,1,0,6,0
Doug McDermott,15:54,2,6,.333,0,1,.000,0,0,,1,2,3,0,1,0,0,1,4,-3
Edmond Sumner,15:53,7,9,.778,4,6,.667,0,0,,0,0,0,3,0,0,0,3,18,+8
Jeremy Lamb,14:48,2,7,.286,2,3,.667,1,1,1.000,1,0,1,2,0,0,0,2,7,+6
Goga Bitadze,11:16,4,7,.571,1,2,.500,0,0,,3,2,5,0,0,1,1,2,9,+1
