Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Oshae Brissett,40:01,.649,.682,.545,.273,4.0,20.3,15.4,7.2,0.0,6.6,7.5,14.1,125,83,0.4
Domantas Sabonis,29:30,.831,.846,.231,.462,0.0,43.5,30.6,55.9,1.5,0.0,24.2,29.5,145,69,17.2
Caris LeVert,27:00,.766,.733,.400,.200,0.0,2.5,1.8,26.0,1.6,4.9,5.8,27.1,148,91,8.5
Doug McDermott,26:59,.984,1.000,.571,.286,0.0,2.5,1.8,4.8,1.6,0.0,0.0,24.7,179,94,12.1
Edmond Sumner,12:05,.850,.800,.000,.400,0.0,5.6,3.9,9.7,3.6,0.0,0.0,20.5,173,88,5.2
Aaron Holiday,23:57,.949,.900,.400,.600,0.0,8.5,6.0,24.5,0.0,0.0,24.0,14.7,160,94,2.8
Justin Holiday,20:55,1.125,1.125,.750,.000,0.0,9.7,6.8,18.3,0.0,3.1,0.0,8.1,212,92,11.9
T.J. McConnell,19:49,.667,.667,.333,.000,0.0,3.4,2.4,18.6,6.6,0.0,50.0,12.8,96,83,-3.1
Kelan Martin,14:47,.500,.500,.400,.000,0.0,18.3,12.9,6.4,0.0,8.9,28.6,20.0,73,82,-9.1
Cassius Stanley,12:57,.500,.500,.286,.000,12.4,10.4,11.0,0.0,0.0,0.0,0.0,22.8,103,92,-13.3
Amida Brimah,12:00,.643,.600,.000,.200,13.3,16.9,15.8,8.9,0.0,11.0,35.5,29.7,91,81,-11.3
