Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Oshae Brissett,40:01,6,11,.545,3,6,.500,1,3,.333,1,12,13,3,0,4,1,3,16,+49
Domantas Sabonis,29:30,10,13,.769,2,3,.667,4,6,.667,0,19,19,14,1,0,5,2,26,+49
Caris LeVert,27:00,9,15,.600,4,6,.667,3,3,1.000,0,1,1,6,1,2,1,3,25,+47
Doug McDermott,26:59,11,14,.786,6,8,.750,3,4,.750,0,1,1,1,1,0,0,2,31,+42
Edmond Sumner,12:05,4,5,.800,0,0,,2,2,1.000,0,1,1,1,1,0,0,1,10,+22
Aaron Holiday,23:57,4,5,.800,1,2,.500,3,3,1.000,0,3,3,6,0,0,2,1,12,+11
Justin Holiday,20:55,3,4,.750,3,3,1.000,0,0,,0,3,3,4,0,1,0,0,9,+37
T.J. McConnell,19:49,2,3,.667,0,1,.000,0,0,,0,1,1,4,3,0,3,2,4,+26
Kelan Martin,14:47,2,5,.400,1,2,.500,0,0,,0,4,4,1,0,2,2,3,5,-1
Cassius Stanley,12:57,3,7,.429,1,2,.500,0,0,,1,2,3,0,0,0,0,2,7,+2
Amida Brimah,12:00,3,5,.600,0,0,,1,1,1.000,1,3,4,1,0,2,3,3,7,+1
