Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard,36:15,10,18,.556,1,4,.250,8,9,.889,1,11,12,7,0,0,1,2,29,+13
Paul George,34:00,11,18,.611,6,9,.667,8,8,1.000,1,2,3,5,1,1,3,3,36,+7
Marcus Morris,24:08,2,7,.286,1,6,.167,0,0,,0,4,4,0,1,0,0,2,5,-4
Ivica Zubac,24:01,5,7,.714,0,0,,1,2,.500,1,4,5,2,0,0,0,2,11,-3
Patrick Beverley,20:08,2,7,.286,2,5,.400,2,2,1.000,0,4,4,3,1,0,0,4,8,-1
Reggie Jackson,25:34,8,12,.667,4,6,.667,3,3,1.000,0,3,3,2,1,1,0,4,23,+25
Nicolas Batum,20:34,2,5,.400,1,4,.250,0,0,,0,6,6,2,1,0,0,2,5,+22
Patrick Patterson,19:32,2,5,.400,1,3,.333,0,0,,1,4,5,0,0,0,0,1,5,+26
Rajon Rondo,15:00,1,4,.250,0,2,.000,0,0,,2,0,2,1,0,1,2,2,2,+9
Terance Mann,9:53,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,2,0,0,2,-1
DeMarcus Cousins,7:37,3,4,.750,0,0,,1,4,.250,2,2,4,2,0,0,1,2,7,-7
Luke Kennard,3:18,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
