Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Terance Mann,29:29,.936,.833,.500,1.167,0.0,16.7,7.4,11.0,0.0,0.0,24.8,17.0,142,124,6.9
Marcus Morris,27:18,.441,.441,.588,.000,3.6,27.0,14.0,0.0,3.5,3.3,5.6,27.4,89,111,-0.7
Paul George,24:37,.379,.318,.545,.182,0.0,15.0,6.6,19.4,0.0,3.7,25.2,26.8,69,121,-12.5
Ivica Zubac,20:28,.694,.500,.000,1.000,14.4,18.0,16.0,7.0,2.4,4.4,51.0,11.9,92,114,-5.1
Reggie Jackson,19:50,.500,.500,.333,.000,0.0,6.2,2.8,46.0,0.0,0.0,10.0,21.0,113,125,0.0
DeMarcus Cousins,24:32,.508,.429,.214,.286,16.0,35.1,24.5,8.1,0.0,7.4,16.0,31.8,99,115,-2.8
Amir Coffey,23:00,.607,.556,.556,.222,4.3,0.0,2.4,0.0,0.0,0.0,9.2,19.7,116,126,-4.0
Rajon Rondo,22:18,.417,.417,.500,.000,8.8,5.5,7.3,34.0,2.2,0.0,25.0,14.9,99,120,-6.3
Patrick Patterson,18:24,.357,.357,.857,.000,0.0,6.7,3.0,0.0,2.6,0.0,0.0,15.8,79,120,-5.2
Nicolas Batum,14:23,.500,.500,1.000,.000,0.0,17.1,7.6,0.0,0.0,0.0,0.0,8.7,106,124,-3.9
Yogi Ferrell,8:24,.750,.750,.750,.000,0.0,14.7,6.5,46.5,0.0,0.0,0.0,19.8,167,125,15.7
Daniel Oturu,7:17,.500,.500,.000,.000,26.9,33.8,30.0,22.4,0.0,0.0,0.0,11.4,148,121,6.0
