Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paul George,36:56,.773,.750,.643,.143,0.0,16.7,9.3,38.2,1.4,0.0,28.7,26.5,122,118,4.0
Nicolas Batum,36:19,.770,.750,.625,.125,17.1,20.3,18.9,15.4,1.4,2.9,19.2,13.5,148,115,3.2
Kawhi Leonard,30:21,.685,.643,.286,.214,10.2,12.2,11.3,39.1,6.8,3.5,11.5,26.7,145,105,13.1
Patrick Beverley,21:33,.654,.667,.833,.333,7.2,5.7,6.4,0.0,4.8,0.0,12.7,17.1,114,113,-3.3
Serge Ibaka,21:29,.794,.778,.222,.111,0.0,11.5,6.4,16.2,0.0,5.0,9.6,22.7,142,120,3.5
Lou Williams,23:38,.571,.571,.571,.000,0.0,20.8,11.6,17.5,2.2,0.0,12.5,15.8,119,115,-1.7
Luke Kennard,19:53,.581,.500,.667,.333,0.0,37.1,20.7,13.3,0.0,0.0,22.5,20.9,104,116,-5.9
Ivica Zubac,19:05,.877,1.000,.000,5.500,0.0,0.0,0.0,0.0,0.0,5.6,22.6,21.7,133,122,-5.9
Reggie Jackson,13:03,.417,.417,.667,.000,0.0,9.4,5.3,32.8,0.0,0.0,0.0,21.5,121,123,-8.3
Patrick Patterson,11:29,1.330,1.500,1.000,2.000,27.0,10.7,17.9,22.7,0.0,0.0,34.7,11.7,183,122,7.0
Terance Mann,4:44,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,200,125,-2.6
Mfiondu Kabengele,0:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,126,-4.9
Amir Coffey,0:26,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,126,-6.3
Daniel Oturu,0:26,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,126,-6.7
