Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard,30:25,9,17,.529,3,5,.600,7,8,.875,1,2,3,7,3,1,0,4,28,+23
Paul George,28:27,8,15,.533,4,9,.444,3,4,.750,0,10,10,7,2,0,3,1,23,+25
Nicolas Batum,26:26,4,6,.667,2,2,1.000,1,2,.500,2,3,5,3,1,0,0,1,11,+26
Serge Ibaka,23:09,4,11,.364,3,5,.600,0,0,,2,6,8,3,1,1,1,3,11,+20
Patrick Beverley,20:59,3,6,.500,1,2,.500,0,0,,2,2,4,0,2,0,0,4,7,+23
Reggie Jackson,21:37,4,6,.667,2,4,.500,1,3,.333,0,1,1,2,0,0,0,3,11,-1
Lou Williams,20:58,7,13,.538,1,4,.250,0,0,,0,5,5,2,1,0,1,0,15,+10
Luke Kennard,18:44,2,5,.400,1,1,1.000,0,0,,0,0,0,1,0,0,2,1,5,-4
Ivica Zubac,15:12,2,2,1.000,0,0,,3,4,.750,2,0,2,2,2,3,2,3,7,+7
Patrick Patterson,10:53,1,5,.200,0,3,.000,0,0,,0,3,3,0,0,0,1,1,2,-6
Terance Mann,8:05,0,1,.000,0,0,,0,0,,2,2,4,0,0,0,0,1,0,-6
Mfiondu Kabengele,6:51,0,2,.000,0,1,.000,0,0,,0,0,0,2,1,1,0,2,0,-4
Amir Coffey,5:29,2,4,.500,1,2,.500,1,1,1.000,0,0,0,0,0,0,0,1,6,+2
Daniel Oturu,2:45,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,0,0,2,0
