Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paul George,34:05,.844,.850,.450,.150,0.0,11.5,6.8,32.9,0.0,0.0,0.0,29.9,177,111,19.9
Kawhi Leonard,31:34,.761,.750,.429,.286,0.0,18.6,11.0,15.0,1.6,0.0,20.2,29.9,124,106,4.7
Nicolas Batum,23:45,.700,.700,.600,.000,0.0,4.1,2.4,10.7,0.0,0.0,16.7,12.1,128,113,-1.2
Reggie Jackson,23:25,.000,.000,.333,.000,0.0,20.9,12.3,14.0,0.0,0.0,0.0,6.1,76,108,-5.8
Serge Ibaka,20:16,.875,.875,.375,.000,7.0,14.5,11.4,23.9,0.0,5.8,0.0,18.9,187,104,16.7
Ivica Zubac,27:44,.512,.375,.125,.500,30.5,35.3,33.4,4.5,3.7,6.3,9.3,18.5,133,90,3.9
Marcus Morris,23:13,.387,.333,.667,.667,0.0,12.7,7.5,0.0,0.0,0.0,34.0,12.1,52,111,-11.2
Lou Williams,22:35,.768,.750,.375,.500,0.0,13.0,7.7,19.1,2.3,2.6,29.1,29.1,115,103,3.7
Luke Kennard,21:35,.750,.750,.667,.000,6.5,9.1,8.0,0.0,0.0,0.0,14.3,15.5,129,111,-1.2
Amir Coffey,3:56,.000,.000,.000,.000,0.0,0.0,0.0,27.7,0.0,0.0,0.0,12.1,74,114,-13.4
Terance Mann,3:56,1.500,1.500,1.000,.000,0.0,24.9,14.7,0.0,0.0,0.0,50.0,24.3,94,107,11.1
Mfiondu Kabengele,3:56,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,0,114,-36.6
