Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard,34:26,13,20,.650,3,7,.429,3,6,.500,1,6,7,4,1,0,1,0,32,+8
Paul George,28:58,11,17,.647,6,7,.857,2,4,.500,1,5,6,3,1,0,2,2,30,+21
Nicolas Batum,24:21,2,4,.500,0,1,.000,0,0,,0,3,3,4,1,0,1,1,4,-1
Patrick Beverley,20:04,2,4,.500,1,3,.333,0,0,,0,0,0,1,0,0,1,2,5,+2
Serge Ibaka,19:41,3,6,.500,0,2,.000,0,0,,1,5,6,2,0,2,1,3,6,+4
Reggie Jackson,28:06,6,12,.500,3,5,.600,2,2,1.000,2,3,5,2,1,0,0,4,17,+18
Ivica Zubac,26:31,6,6,1.000,0,0,,0,0,,2,11,13,1,0,2,1,1,12,+20
Marcus Morris,22:53,4,12,.333,2,6,.333,1,1,1.000,0,3,3,4,1,1,1,1,11,+16
Terance Mann,20:13,5,7,.714,2,2,1.000,0,0,,0,3,3,2,1,0,1,6,12,+6
Luke Kennard,11:10,1,5,.200,1,4,.250,0,0,,0,0,0,2,1,0,1,2,3,+2
Mfiondu Kabengele,3:37,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,-1
