Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard,38:41,8,19,.421,2,4,.500,2,4,.500,4,12,16,9,0,3,0,2,20,+8
Paul George,37:44,6,22,.273,5,13,.385,8,8,1.000,2,6,8,4,6,1,5,1,25,-12
Nicolas Batum,34:51,1,4,.250,1,2,.500,6,6,1.000,2,5,7,0,0,0,0,5,9,0
Serge Ibaka,33:35,5,12,.417,1,6,.167,2,2,1.000,1,3,4,1,0,2,1,0,13,+2
Patrick Beverley,27:58,2,7,.286,2,5,.400,0,0,,1,0,1,0,0,2,0,3,6,+21
Lou Williams,24:44,3,8,.375,0,0,,1,2,.500,0,0,0,5,0,0,0,1,7,-12
Luke Kennard,17:44,2,3,.667,2,2,1.000,0,0,,0,2,2,0,0,0,0,1,6,-17
Ivica Zubac,14:25,5,8,.625,0,0,,2,2,1.000,1,1,2,0,0,0,0,1,12,-8
Terance Mann,6:44,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,1,2,2,0
Reggie Jackson,3:22,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-12
Amir Coffey,0:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
