Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paul George,39:08,.901,.885,.538,.154,3.1,10.2,6.5,29.6,0.0,3.0,22.4,20.6,144,127,8.7
Kawhi Leonard,34:11,.585,.500,.294,.471,0.0,11.7,5.6,18.6,3.0,0.0,8.9,29.6,120,121,2.4
Serge Ibaka,30:20,.792,.792,.167,.000,12.2,17.6,14.8,12.3,0.0,3.9,7.7,19.3,152,125,6.7
Nicolas Batum,30:17,.500,.500,.800,.000,0.0,26.4,12.7,28.3,3.4,0.0,0.0,14.9,130,117,5.5
Patrick Beverley,27:59,.376,.313,.375,.375,13.2,14.3,13.7,4.7,3.7,0.0,17.7,18.2,85,119,-8.9
Luke Kennard,17:47,.800,.800,.600,.000,6.9,22.5,14.4,8.5,0.0,6.6,28.6,17.7,113,122,2.0
Marcus Morris,17:43,.143,.143,.286,.000,0.0,15.1,7.2,7.3,0.0,0.0,12.5,20.3,38,128,-20.3
Ivica Zubac,16:56,.250,.250,.000,.000,7.3,23.6,15.1,7.6,0.0,6.9,42.9,18.6,46,122,-17.7
Lou Williams,16:23,.500,.500,.167,.000,7.5,0.0,3.9,0.0,0.0,7.1,33.3,24.7,68,127,-15.1
Reggie Jackson,6:20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,-13.0
Amir Coffey,0:43,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,-8.2
Daniel Oturu,0:43,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,-8.7
Terance Mann,0:43,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.8,200,132,49.2
Mfiondu Kabengele,0:43,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,-6.8
