Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paul George,33:19,.450,.444,.333,.111,0.0,19.2,10.3,15.4,1.4,0.0,5.0,26.2,97,101,-5.7
Ivica Zubac,32:23,.972,1.000,.000,1.000,3.8,23.1,14.1,7.1,1.4,2.4,12.2,11.1,178,98,7.2
Kawhi Leonard,32:09,.880,.833,.167,.417,3.8,19.9,12.4,12.6,7.3,0.0,6.6,20.8,169,88,17.7
Marcus Morris,26:17,.751,.792,.583,.250,4.7,12.2,8.7,0.0,0.0,0.0,0.0,22.3,144,105,4.9
Reggie Jackson,18:22,.654,.667,.500,.333,0.0,17.4,9.3,25.4,2.6,0.0,0.0,16.5,149,98,8.6
Nicolas Batum,26:12,.903,.900,.800,1.000,0.0,16.3,8.7,16.8,0.0,5.8,12.2,13.8,167,98,11.2
Terance Mann,24:30,.415,.438,.125,.125,5.0,26.1,16.3,4.5,0.0,0.0,19.2,18.7,78,103,-8.5
Lou Williams,17:22,.601,.542,.333,.250,0.0,0.0,0.0,17.1,2.7,0.0,13.1,38.8,109,101,-1.4
Luke Kennard,12:29,.750,.750,.750,.000,0.0,25.6,13.7,9.3,0.0,0.0,0.0,14.1,151,103,6.9
Amir Coffey,5:39,.868,1.250,.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,144,107,10.3
Patrick Patterson,5:39,.000,.000,.667,.000,0.0,18.9,10.1,17.3,0.0,0.0,0.0,23.3,26,104,-21.0
Daniel Oturu,5:39,.532,1.000,.000,2.000,21.8,0.0,10.1,21.0,8.3,0.0,0.0,14.6,143,88,6.8
