Players,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paul George,34:45,.604,.563,.438,.313,0.0,27.6,15.7,19.8,0.0,2.7,9.9,28.3,113,106,0.7
Kawhi Leonard,33:28,.752,.583,.333,1.000,0.0,9.6,5.4,20.7,0.0,0.0,25.8,16.9,126,112,-1.1
Marcus Morris,33:21,.926,.909,.455,.182,0.0,19.2,10.9,10.5,1.5,0.0,14.4,20.2,143,106,8.8
Reggie Jackson,33:08,.529,.529,.529,.000,4.3,12.9,9.2,25.1,1.5,0.0,0.0,24.9,116,108,3.6
Ivica Zubac,30:28,.667,.667,.000,.000,9.3,21.0,16.0,14.5,0.0,6.1,25.0,12.8,118,104,-0.1
Nicolas Batum,19:50,.583,.583,.667,.000,0.0,5.4,3.1,0.0,2.5,4.7,0.0,14.7,106,103,1.8
Rajon Rondo,19:32,.000,.000,.750,.000,0.0,16.4,9.3,31.5,7.8,0.0,60.0,24.9,34,93,-14.0
Patrick Beverley,14:52,.800,.800,.600,.000,0.0,7.2,4.1,33.0,3.4,0.0,16.7,19.6,135,103,9.4
DeMarcus Cousins,14:28,.875,.875,.250,.000,9.8,36.9,25.2,11.4,0.0,6.4,33.3,20.2,110,101,4.5
Terance Mann,6:08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,113,-5.7
