Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George,30:39,8,12,.667,3,5,.600,5,5,1.000,1,6,7,5,0,0,5,3,24,+26
Kawhi Leonard,29:52,4,9,.444,2,6,.333,5,6,.833,1,7,8,6,0,1,5,2,15,+21
Ivica Zubac,27:34,5,5,1.000,0,0,,4,5,.800,0,8,8,0,0,1,1,3,14,+16
Marcus Morris,26:46,3,6,.500,1,1,1.000,3,3,1.000,0,4,4,0,0,0,3,1,10,+16
Reggie Jackson,25:24,4,7,.571,2,5,.400,0,0,,0,4,4,1,0,0,2,1,10,+17
Nicolas Batum,20:18,2,4,.500,0,2,.000,1,2,.500,1,5,6,1,1,1,1,1,5,+8
Rajon Rondo,17:25,4,8,.500,1,1,1.000,2,2,1.000,1,0,1,5,1,0,1,2,11,+9
Patrick Beverley,17:21,1,5,.200,1,2,.500,2,2,1.000,0,0,0,2,1,1,3,3,5,-2
DeMarcus Cousins,16:21,5,8,.625,1,3,.333,0,0,,1,2,3,0,1,0,0,3,11,+6
Luke Kennard,16:03,2,5,.400,2,4,.500,0,0,,1,0,1,2,0,0,1,3,6,-3
Terance Mann,4:05,3,5,.600,0,1,.000,1,1,1.000,2,2,4,0,0,0,0,0,7,+2
Daniel Oturu,4:05,0,1,.000,0,0,,0,0,,1,1,2,0,0,1,0,3,0,+2
Yogi Ferrell,4:05,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+2
