Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Schröder,36:35,7,18,.389,2,8,.250,0,0,,0,4,4,10,1,0,2,3,16,-27
Kyle Kuzma,30:41,5,11,.455,4,9,.444,0,0,,0,2,2,0,2,1,2,2,14,-23
Andre Drummond,29:32,3,5,.600,0,0,,0,0,,0,12,12,1,3,0,2,2,6,-19
Ben McLemore,29:17,7,12,.583,6,10,.600,0,1,.000,1,1,2,0,0,1,0,5,20,0
Anthony Davis,28:19,5,19,.263,0,6,.000,7,8,.875,2,1,3,3,0,0,1,0,17,-19
Alex Caruso,23:43,1,3,.333,0,2,.000,5,6,.833,1,1,2,4,2,1,1,3,7,+1
Markieff Morris,19:41,2,11,.182,0,6,.000,0,0,,0,2,2,0,2,0,0,3,4,+4
Marc Gasol,18:28,0,0,,0,0,,1,2,.500,2,5,7,2,0,1,1,2,1,+4
Talen Horton-Tucker,17:29,2,4,.500,0,2,.000,2,2,1.000,0,1,1,2,1,0,0,2,6,+1
Wesley Matthews,6:15,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,+3
